auprc,auroc,brier,cal_slope,cal_intercept,prevalence,model,design,family,auprc_sd,minutes
0.5551157740656196,0.8850544079058998,0.1268975216424302,0.7513622255070649,-1.925722243465643,0.1117986798679868,LogisticRegression,A,Linear,1.7734875977700254e-06,24.3
0.5575964333665736,0.890297670974852,0.08360319856106393,1.270344580393204,-0.8973852621013292,0.1117986798679868,RandomForest,A,Bagged trees,0.0016777230363197954,9.7
0.6256413556472725,0.9094167068006027,0.08637106882723197,0.9823668113186912,-1.339586804887557,0.1117986798679868,XGBoost,A,Boosted trees,0.0036939213795867207,0.7
0.6158764144752885,0.9067502995048531,0.07209922889531621,0.3221845297382037,-0.02755930815857158,0.1117986798679868,LightGBM,A,Boosted trees,0.0030879048000972634,0.7
0.6121030203910983,0.9069516833115382,0.09555183848085215,1.1013411674622289,-1.5171986846197136,0.1117986798679868,CatBoost,A,Boosted trees,0.002927132033422915,1.3
0.5908869237219946,0.8958541501346272,0.06562903697870347,1.066959461423125,0.012579973976417512,0.1117986798679868,MLP,A,Neural (tabular),0.03934757729615025,0.8
0.5919866395264517,0.8978122862975029,0.10736885137301846,0.8357022104687467,-1.6273777519883932,0.1117986798679868,FT-Transformer,A,Neural (tabular),0.0065931019808846995,28.3
0.527652868464039,0.8755101008975719,0.13006068800320517,0.8490084818678154,-1.7912972206069453,0.1117986798679868,LSTM,A,Sequence,0.003701878589466825,0.8
0.5459001820441323,0.882028937567592,0.12671715212326953,0.8581623708052448,-1.7729297467480187,0.1117986798679868,GRU-D,A,Sequence,0.01140131346824337,4.7
0.5414330164593141,0.880500134541522,0.13155579034850257,0.9172454284069224,-1.8698260195457213,0.1117986798679868,TFT,A,Sequence,0.0038195110694334844,2.5
0.6063784994988066,0.8956026176747741,0.16372617799782638,0.8377523630817331,-2.19692188953306,0.13563025210084034,LogisticRegression,B,Linear,8.869243242444439e-06,5.9
0.5768070761879213,0.8930876799615266,0.11322686304403883,1.5096720173641163,-1.3090186125096999,0.13563025210084034,RandomForest,B,Bagged trees,0.0009365632816790679,3.4
0.6267626628400267,0.905799222773896,0.07870419437683406,0.8162249427104707,-0.5170125686382828,0.13563025210084034,XGBoost,B,Boosted trees,0.006000676312222066,0.9
0.637218236613302,0.9076460322749538,0.07812244457981389,0.8285711435200706,-0.5250380381626207,0.13563025210084034,LightGBM,B,Boosted trees,0.001853129016342656,1.5
0.6212819285102199,0.9012936340368075,0.07728934676237166,0.7682699990925753,-0.2605617530926537,0.13563025210084034,CatBoost,B,Boosted trees,0.004838841221514796,7.9
0.6200400610909073,0.8966473360044005,0.07702743408249642,0.979607003778015,0.08530724368647837,0.13563025210084034,MLP,B,Neural (tabular),0.006009686389078248,0.7
0.6217230251042484,0.9034555938088875,0.14456609286039424,0.9433997368868279,-1.9878339944630994,0.13563025210084034,FT-Transformer,B,Neural (tabular),0.006500134505632558,13.0
0.5659809119887922,0.8857064654716496,0.133787565327921,1.0035404603602744,-1.7292863119796211,0.13563025210084034,LSTM,B,Sequence,0.003702048700234114,0.4
0.5857738398373762,0.8863849541285288,0.1278843686670165,0.8629431385261477,-1.5832459830251322,0.13563025210084034,GRU-D,B,Sequence,0.004103221462192706,3.4
0.5564671289442539,0.8832308010719928,0.12681572324196674,0.9352183280541603,-1.5579067058095537,0.13563025210084034,TFT,B,Sequence,0.009317135792387198,2.1
